iter	Passed	Remaining
0	27	27382
1	53	26669
2	76	25568
3	102	25595
4	128	25572
5	155	25746
6	180	25613
7	205	25437
8	230	25414
9	266	26349
10	299	26883
11	331	27322
12	365	27726
13	396	27950
14	427	28088
15	456	28091
16	482	27885
17	508	27718
18	534	27607
19	560	27478
20	585	27304
21	609	27099
22	633	26905
23	656	26681
24	679	26498
25	702	26329
26	726	26170
27	749	26031
28	773	25914
29	797	25787
30	824	25774
31	864	26144
32	887	26011
33	912	25936
34	939	25916
35	966	25869
36	997	25962
37	1020	25842
38	1043	25716
39	1066	25597
40	1092	25546
41	1116	25473
42	1144	25476
43	1171	25451
44	1251	26561
45	1276	26481
46	1304	26444
47	1328	26342
48	1350	26212
49	1375	26135
50	1400	26052
51	1424	25965
52	1448	25890
53	1472	25792
54	1497	25732
55	1523	25687
56	1550	25659
57	1578	25635
58	1601	25537
59	1629	25521
60	1652	25435
61	1676	25364
62	1704	25350
63	1729	25294
64	1755	25247
65	1779	25178
66	1803	25107
67	1830	25082
68	1852	24993
69	1876	24928
70	1904	24923
71	1931	24895
72	1957	24853
73	1983	24818
74	2007	24761
75	2033	24719
76	2056	24645
77	2081	24610
78	2109	24595
79	2131	24507
80	2156	24461
81	2177	24378
82	2204	24350
83	2228	24303
84	2256	24288
85	2278	24216
86	2302	24167
87	2327	24118
88	2352	24081
89	2376	24033
90	2397	23953
91	2425	23935
92	2448	23875
93	2472	23826
94	2497	23789
95	2522	23750
96	2546	23701
97	2571	23668
98	2595	23617
99	2622	23604
100	2645	23549
101	2668	23494
102	2691	23438
103	2713	23374
104	2739	23350
105	2761	23291
106	2788	23269
107	2813	23238
108	2839	23208
109	2866	23190
110	2890	23153
111	2917	23135
112	2940	23081
113	2967	23062
114	2992	23027
115	3017	22994
116	3041	22955
117	3067	22929
118	3090	22880
119	3112	22823
120	3139	22806
121	3164	22771
122	3189	22743
123	3210	22682
124	3236	22657
125	3258	22604
126	3283	22570
127	3306	22527
128	3332	22498
129	3356	22460
130	3383	22442
131	3404	22389
132	3431	22367
133	3457	22341
134	3483	22318
135	3509	22298
136	3534	22264
137	3560	22242
138	3585	22210
139	3610	22178
140	3636	22151
141	3659	22110
142	3686	22090
143	3712	22068
144	3740	22058
145	3766	22034
146	3791	21999
147	3821	21997
148	3842	21943
149	3869	21928
150	3890	21876
151	3917	21857
152	3940	21815
153	3967	21793
154	3991	21758
155	4015	21724
156	4042	21703
157	4068	21681
158	4096	21665
159	4121	21640
160	4147	21612
161	4169	21570
162	4197	21551
163	4221	21520
164	4258	21552
165	4295	21581
166	4326	21579
167	4354	21565
168	4381	21544
169	4403	21499
170	4429	21474
171	4455	21446
172	4479	21415
173	4506	21392
174	4533	21374
175	4561	21353
176	4585	21319
177	4612	21302
178	4636	21266
179	4664	21248
180	4692	21231
181	4717	21201
182	4740	21163
183	4766	21136
184	4790	21102
185	4815	21075
186	4838	21037
187	4863	21004
188	4891	20987
189	4917	20964
190	4942	20936
191	4968	20911
192	4998	20899
193	5023	20872
194	5050	20850
195	5077	20830
196	5106	20813
197	5131	20784
198	5158	20762
199	5185	20742
200	5209	20707
201	5232	20671
202	5261	20656
203	5287	20632
204	5314	20607
205	5335	20566
206	5360	20534
207	5388	20517
208	5421	20520
209	5455	20523
210	5481	20497
211	5508	20476
212	5534	20450
213	5561	20427
214	5591	20415
215	5622	20407
216	5652	20395
217	5680	20377
218	5705	20346
219	5733	20327
220	5764	20319
221	5790	20294
222	5819	20278
223	5849	20263
224	5877	20243
225	5906	20229
226	5936	20214
227	5961	20185
228	5989	20164
229	6013	20132
230	6041	20111
231	6073	20104
232	6100	20082
233	6133	20076
234	6163	20064
235	6190	20041
236	6219	20021
237	6246	19998
238	6274	19977
239	6305	19966
240	6338	19963
241	6366	19942
242	6399	19937
243	6433	19932
244	6467	19930
245	6495	19910
246	6523	19887
247	6555	19877
248	6581	19849
249	6608	19825
250	6637	19806
251	6664	19780
252	6693	19763
253	6721	19740
254	6750	19721
255	6778	19700
256	6804	19672
257	6829	19640
258	6858	19621
259	6886	19600
260	6912	19573
261	6938	19544
262	6966	19522
263	6995	19502
264	7017	19464
265	7046	19443
266	7071	19412
267	7100	19393
268	7127	19367
269	7154	19344
270	7180	19316
271	7207	19290
272	7233	19263
273	7261	19239
274	7285	19207
275	7315	19189
276	7342	19165
277	7371	19145
278	7410	19149
279	7437	19124
280	7464	19099
281	7490	19072
282	7519	19051
283	7549	19033
284	7576	19006
285	7603	18982
286	7629	18954
287	7657	18930
288	7685	18907
289	7713	18883
290	7740	18859
291	7766	18831
292	7797	18815
293	7827	18797
294	7859	18782
295	7887	18760
296	7927	18764
297	7953	18737
298	7987	18726
299	8015	18703
300	8042	18675
301	8069	18651
302	8097	18626
303	8129	18611
304	8156	18587
305	8183	18560
306	8207	18527
307	8230	18491
308	8257	18465
309	8282	18434
310	8309	18409
